city,humidity,cloudiness,windspeed,long,lat,temp,max_temp
omboue,85,4,1.12,9.26,-1.57,77.09,77.09
cap-aux-meules,86,90,11.3,-61.86,47.38,26.6,26.6
ortakoy,68,75,2.1,34.04,38.74,30.2,30.2
itarema,79,100,3.01,-39.92,-2.92,79.142,79.142
catamarca,68,100,1.89,-65.79,-28.47,73.094,73.094
dondo,100,75,2.6,34.74,-19.61,77,77
sesori,66,20,3.1,-88.37,13.72,89.6,89.6
lavrentiya,96,100,3.61,-171,65.58,5.936,5.936
hirara,78,100,3.78,125.28,24.8,64.958,64.958
ios,50,88,10.8,25.28,36.73,50.99,51.8
mikuni,93,75,6.2,136.15,36.22,41,41
morros,65,72,0.76,-46.3,-9.45,83.228,83.228
hammerfest,74,20,9.8,23.68,70.66,34.556,35.6
makat,91,20,0.84,53.35,47.65,20.138,20.138
beloha,89,67,1.94,45.05,-25.17,72.644,72.644
acari,89,97,3.93,-74.62,-15.43,67.874,67.874
asyut,57,0,6.2,31.18,27.18,51.8,51.8
pangai,74,75,3.1,-174.35,-19.8,82.4,82.4
canico,72,40,6.7,-16.85,32.63,60.944,62.6
souillac,88,40,1.5,57.52,-20.52,80.762,80.996
dickinson,15,1,5.7,-95.05,29.46,59.324,60.998
takaungu,88,20,3.6,39.86,-3.68,78.8,78.8
san patricio,66,40,5.1,-104.7,19.22,89.6,89.6
ambunti,98,100,0.52,142.84,-4.24,74.516,74.516
belmonte,78,20,2.1,-38.88,-15.86,82.4,82.4
yerbogachen,93,100,4.4,108.01,61.28,-5.062,-5.062
derzhavinsk,97,61,1.88,66.32,51.1,5.828,5.828
pyapon,68,11,3.34,95.68,16.28,68.918,68.918
kasongo,93,72,0.33,26.67,-4.45,68.054,68.054
labuhan,89,100,1.4,112.21,-6.88,75.29,75.29
waipawa,93,76,4.1,175.52,-41.41,64.202,66.992
pishin,46,42,0.76,67,30.58,36.248,36.248
xai-xai,92,99,7.96,33.64,-25.05,73.544,73.544
toledo,35,95,7.2,-4,39.83,42.584,42.998
isangel,94,75,6.55,169.27,-19.55,75.2,75.2
tagusao,91,42,1.08,117.81,9.19,73.688,73.688
pangkalanbuun,97,97,0.63,111.62,-2.68,75.524,75.524
taltal,69,98,2.9,-70.48,-25.4,69.206,69.206
mandalgovi,80,0,5.02,106.27,45.76,0.788,0.788
hit,55,21,2.96,42.83,33.64,53.726,53.726
paita,100,0,8.2,-81.11,-5.09,62.6,62.6
katobu,92,79,1.05,122.53,-4.94,75.938,75.938
pedernales,66,75,9.3,-71.74,18.04,84.2,84.2
arnhem,100,0,1.5,5.9,51.97,36.32,39.992
ocampo,55,100,7.3,-101.5,21.65,61.448,61.448
okhotsk,71,0,3.64,143.3,59.38,-21.352,-21.352
lipin bor,97,100,4.57,37.98,60.26,33.89,33.89
mata,45,0,4.92,-7.46,40.68,44.726,46.994
annau,93,90,3.1,58.52,37.89,39.2,39.2
mongo,28,0,3.08,18.69,12.18,67.37,67.37
rio verde de mato grosso,63,15,0.67,-54.84,-18.92,88.592,88.592
upata,80,83,2.51,-62.4,8.01,78.368,78.368
mehamn,74,40,9.3,27.85,71.04,27.014,28.4
flin flon,70,5,2.1,-101.86,54.77,-2.2,-2.2
ilulissat,66,85,8.2,-51.1,69.22,10.4,10.4
kautokeino,88,79,4.82,23.04,69.01,9.104,9.104
pak phanang,88,86,2.6,100.2,8.35,77.216,77.216
kununurra,94,100,1.5,128.73,-15.77,78.8,78.8
sorland,69,75,16.93,12.69,67.67,39.128,41
seybaplaya,58,40,5.1,-90.67,19.65,82.4,82.4
korampallam,87,0,3.27,78.1,8.77,72.014,72.014
caravelas,80,5,3.74,-39.25,-17.71,80.402,80.402
shubarkuduk,96,100,2.14,56.49,49.14,23.738,23.738
saint anthony,71,90,3.6,-93.22,45.02,10.994,15.008
betanzos,61,20,6.2,-8.21,43.28,44.51,51.008
patrocinio,69,60,1,-46.99,-18.94,76.118,80.6
sisimiut,83,16,6.34,-53.67,66.94,-3.28,-3.28
honiara,94,40,1,159.95,-9.43,75.2,75.2
cutervo,54,89,4.71,-78.82,-6.38,70.412,70.412
virginia beach,50,20,4.6,-75.98,36.85,51.008,57.2
huayucachi,67,75,7.7,-75.23,-12.13,57.2,57.2
griffith,61,40,5.7,-87.42,41.53,16.448,21.002
padang,95,94,1.9,100.35,-0.95,68.126,68.126
nome,72,75,4.1,-165.41,64.5,10.4,10.4
kihei,69,40,8.2,-156.47,20.79,72.662,75.2
aqtobe,86,90,3,57.21,50.28,28.4,28.4
caconda,95,0,1.34,15.07,-13.73,60.116,60.116
chapais,64,1,4.1,-74.85,49.78,-0.4,-0.4
batagay,87,91,1.51,134.63,67.63,-22.36,-22.36
